label,N,support,f1_baseline,f1_floor21,f1_gated,fp_baseline,fp_floor21,fp_gated
abk_Cyrl,100000,57,1.0,1.0,1.0,0,0,0
ace_Latn,47937,61,0.9666666666666667,0.9579831932773109,0.9579831932773109,1,1,1
acu_Latn,24513,180,0.8424437299035369,0.8424437299035369,0.8424437299035369,0,0,0
ada_Latn,100000,59,1.0,1.0,0.9915966386554621,0,0,1
ady_Cyrl,5894,56,0.9911504424778761,0.9911504424778761,0.9911504424778761,1,1,1
afr_Latn,100000,60,0.9915966386554621,0.9915966386554621,0.9915966386554621,0,0,0
agr_Latn,32209,57,0.9911504424778761,0.9911504424778761,0.9911504424778761,0,0,0
aii_Syrc,24440,57,0.0,0.0,0.0,0,0,0
ajg_Latn,29217,59,0.6483516483516484,0.6519337016574586,0.6519337016574586,64,63,63
als_Latn,100000,59,1.0,0.9915966386554621,0.9833333333333333,0,1,2
alt_Cyrl,84843,51,0.9807692307692307,0.9807692307692307,0.9807692307692307,2,2,2
ame_Latn,34032,59,0.9914529914529915,0.9830508474576272,0.9830508474576272,0,1,1
amh_Ethi,100000,51,0.8409090909090908,0.8409090909090908,0.8409090909090908,0,0,0
ami_Latn,87543,58,0.09836065573770492,0.09836065573770492,0.09836065573770492,0,0,0
amr_Latn,23701,61,0.9917355371900827,0.9917355371900827,0.9917355371900827,0,0,0
arb_Arab,100000,58,0.8737864077669902,0.8737864077669902,0.8737864077669902,0,0,0
arl_Latn,24447,60,1.0,1.0,1.0,0,0,0
arn_Latn,100000,58,0.9056603773584906,0.9454545454545454,0.9454545454545454,0,0,0
ast_Latn,100000,58,0.9913043478260869,0.9827586206896551,0.9661016949152542,0,1,3
auc_Latn,17817,154,0.012903225806451613,0.025641025641025647,0.0,0,0,0
ayr_Latn,100000,59,0.9508196721311476,0.9062499999999999,0.8721804511278195,5,11,16
azj_Cyrl,26412,56,0.9909909909909909,0.9909909909909909,0.9909909909909909,0,0,0
azj_Latn,100000,58,0.9914529914529915,0.9914529914529915,0.9206349206349206,1,1,10
bam_Latn,18697,57,0.5180722891566265,0.38565022421524664,0.38565022421524664,66,123,123
ban_Latn,41792,60,1.0,1.0,1.0,0,0,0
bba_Latn,84918,58,0.9827586206896551,0.9579831932773109,0.9579831932773109,1,4,4
bci_Latn,100000,58,1.0,1.0,1.0,0,0,0
bcl_Latn,100000,59,0.9833333333333333,0.9752066115702479,0.9672131147540983,2,3,4
bel_Cyrl,100000,58,1.0,1.0,1.0,0,0,0
bem_Latn,100000,57,0.9824561403508771,0.9824561403508771,0.9739130434782608,1,1,2
ben_Beng,100000,58,1.0,1.0,1.0,0,0,0
bho_Deva,55844,56,0.8431372549019608,0.8431372549019608,0.8431372549019608,3,3,3
bin_Latn,100000,47,0.9438202247191011,0.9438202247191011,0.9333333333333332,0,0,1
bis_Latn,100000,59,1.0,1.0,1.0,0,0,0
boa_Latn,17164,61,1.0,1.0,1.0,0,0,0
bod_Tibt,45476,60,1.0,1.0,1.0,0,0,0
bre_Latn,33378,59,0.9914529914529915,0.9914529914529915,0.9914529914529915,0,0,0
bug_Latn,14761,60,0.9836065573770492,0.967741935483871,0.9917355371900827,2,4,1
bul_Cyrl,100000,58,1.0,1.0,1.0,0,0,0
bum_Latn,100000,58,0.26865671641791045,0.3380281690140845,0.5301204819277108,0,1,3
cab_Latn,100000,60,1.0,1.0,1.0,0,0,0
cak_Latn,100000,57,1.0,0.9743589743589743,0.9743589743589743,0,3,3
cat_Latn,100000,58,0.9914529914529915,0.983050847457627,0.983050847457627,1,2,2
cbi_Latn,10976,62,0.976,0.9682539682539683,0.976,2,3,2
cbr_Latn,24284,60,0.9915966386554621,0.9915966386554621,0.9915966386554621,0,0,0
cbs_Latn,27312,43,1.0,1.0,1.0,0,0,0
cbt_Latn,10883,57,0.9824561403508771,0.9911504424778761,0.9911504424778761,1,0,0
